gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,66,1,0,23.04,1502.53,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,0,24,1,1,73.67,1789.14,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,60,1,1,54.63,3272.94,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,0,1,0,25,1,0,18.68,466.84,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,0,33,1,1,67.45,2221.38,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,1,1,0,8,1,0,22.27,196.73,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,1,1,39,1,0,86.58,3387.0,0,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,1,0,6,1,1,71.89,440.37,1,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
1,0,1,0,29,1,0,22.5,663.86,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,0,1,1,65,1,1,18.0,1176.19,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,1,29,1,0,99.09,2877.98,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False
1,0,1,0,67,1,0,57.09,3823.86,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,0,0,57,1,1,62.24,3539.36,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
1,0,0,1,54,1,1,83.91,4528.54,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
0,0,1,0,13,1,1,72.69,927.84,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
1,0,1,0,36,1,0,63.34,2275.93,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,1,43,1,1,66.19,2837.05,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
0,0,0,1,5,0,0,19.83,110.6,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,1,1,0,25,1,1,27.3,699.07,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,13,1,0,72.19,943.83,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0,7,1,1,64.91,451.58,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
1,0,1,0,23,1,0,44.07,1014.68,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,38,1,0,23.74,889.17,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,1,1,0,48,1,0,77.66,3734.01,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,0,0,62,1,1,76.86,4766.93,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,25,1,1,58.65,1470.84,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,9,1,1,46.72,418.15,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,1,57,1,1,68.14,3871.61,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
0,0,0,0,13,1,1,71.77,933.52,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,0,1,72,1,1,85.86,6195.48,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
1,0,1,1,70,1,1,60.76,4254.33,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False
1,0,1,0,38,1,1,20.92,807.5,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1,30,1,1,82.48,2467.97,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True
0,0,0,0,49,1,1,83.06,4080.82,1,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,15,1,0,71.78,1100.47,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,0,0,1,71,1,1,66.81,4759.33,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
0,1,1,0,50,1,1,70.03,3492.06,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True
1,0,0,1,14,1,1,70.81,983.42,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,1,37,1,0,55.98,2050.05,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1,0,1,0,70,1,1,87.25,6110.37,0,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,0,1,71,0,1,85.09,6037.22,0,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True
1,0,1,1,20,1,1,31.52,645.39,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,15,1,0,81.13,1223.97,1,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,66,1,1,82.84,5457.89,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
0,0,1,0,64,1,1,26.58,1713.25,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,0,1,12,1,0,86.11,1035.12,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,1,63,1,1,68.31,4289.37,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,0,1,0,60,1,1,86.04,5162.3,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False
0,0,0,0,31,1,0,64.82,2018.42,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
0,0,0,1,11,1,1,93.64,1024.27,1,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
1,0,0,0,40,1,1,73.72,2950.75,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,1,65,1,1,87.16,5660.26,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
1,0,1,1,7,1,1,53.2,364.91,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0,58,1,0,66.94,3887.06,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,1,24,1,0,81.5,1953.08,1,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,4,1,1,85.64,314.96,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,44,1,1,66.54,2931.25,0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,0,1,1,1,18.0,19.01,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,0,0,41,1,0,65.35,2677.86,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
1,0,1,0,37,0,0,22.0,813.96,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,1,2,1,1,79.57,145.73,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
1,0,1,0,45,1,1,56.2,2534.75,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
1,0,0,0,21,1,1,56.17,1177.62,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,1,0,32,1,0,81.86,2621.55,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
1,0,0,0,31,1,0,23.61,755.87,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,16,1,1,19.43,315.96,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,55,1,1,52.66,2882.04,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1,1,1,0,2,1,0,83.95,172.96,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
0,1,1,0,69,1,0,62.99,4348.19,1,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False
0,0,0,0,48,1,0,47.0,2266.38,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,0,0,1,54,1,1,25.39,1374.35,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,30,1,1,24.13,733.85,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,0,0,0,20,1,0,79.31,1562.11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,1,0,0,15,1,1,53.91,810.45,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
1,0,0,1,16,1,0,77.2,1238.24,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0,1,1,1,53.48,46.94,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0,1,1,0,71,1,1,18.0,1268.77,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,64,1,0,31.65,2022.03,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,0,65,1,1,55.02,3587.64,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
0,0,0,0,36,1,1,43.63,1573.34,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
1,1,1,0,23,1,0,28.38,648.69,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,1,61,1,0,82.46,5041.35,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True
1,1,1,1,20,1,0,77.96,1546.93,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
0,0,1,1,36,0,1,58.33,2105.6,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,0,1,34,1,0,43.38,1473.17,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
1,1,1,0,37,1,0,57.16,2119.81,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,1,0,52,1,1,53.26,2753.91,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
1,0,1,0,14,1,0,76.8,1094.45,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
0,0,0,0,41,1,0,75.48,3108.96,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,0,0,0,3,1,1,78.12,227.59,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0,0,0,0,38,1,1,57.02,2155.89,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
0,0,1,0,22,1,1,68.62,1519.44,0,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False
0,1,0,1,14,1,1,89.8,1263.64,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
0,1,1,0,11,1,0,84.66,913.52,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,0,1,69,0,1,18.0,1244.8,0,True,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,53,1,1,79.43,4225.59,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,0,37,1,0,83.86,3110.3,0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
0,0,0,0,27,1,1,89.69,2428.42,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1,0,1,18,1,0,25.63,479.13,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,68,0,1,51.44,3489.41,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,63,1,1,20.33,1282.73,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,0,1,3,0,0,87.21,282.04,1,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,1,9,1,1,18.28,154.82,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,0,11,1,0,26.67,286.93,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,1,68,1,0,59.18,4017.09,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
0,0,1,0,6,0,0,83.91,519.62,0,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False
0,0,1,0,43,1,1,89.44,3854.21,0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
0,0,0,0,22,1,0,82.3,1814.64,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0,1,1,1,1,1,55.47,42.31,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,36,1,0,24.11,855.87,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,68,1,1,20.72,1406.45,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,1,1,19,1,0,74.27,1413.07,0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
